  LP_start         AL        AS2        BS2        PM3        PM4        PM1        PM2        PM5        PM6        AS1        BS1     LP_end
    [1, 1]     [1, 2]     [3, 3]     [1, 3]     [3, 4]     [1, 4]     [3, 5]     [4, 5]     [2, 5]     [1, 5]     [3, 6]     [1, 6]     [1, 7]
    [2, 1]     [2, 2]     [4, 3]     [2, 3]     [4, 4]     [2, 4]     [9, 5]     [7, 5]     [5, 5]     [8, 5]     [5, 6]     [2, 6]     [2, 7]
    [3, 1]     [3, 2]     [7, 3]     [5, 3]     [7, 4]     [5, 4]    [14, 5]    [12, 5]     [6, 5]    [15, 5]     [7, 6]     [4, 6]     [3, 7]
    [4, 1]     [4, 2]     [9, 3]     [6, 3]     [9, 4]     [6, 4]    [16, 5]    [13, 5]    [10, 5]    [22, 5]     [9, 6]     [6, 6]     [4, 7]
    [5, 1]     [5, 2]    [12, 3]     [8, 3]    [12, 4]     [8, 4]    [19, 5]    [18, 5]    [11, 5]    [26, 5]    [12, 6]     [8, 6]     [5, 7]
    [6, 1]     [6, 2]    [13, 3]    [10, 3]    [13, 4]    [10, 4]    [21, 5]    [24, 5]    [17, 5]    [31, 5]    [13, 6]    [10, 6]     [6, 7]
    [7, 1]     [7, 2]    [14, 3]    [11, 3]    [14, 4]    [11, 4]    [25, 5]    [27, 5]    [20, 5]    [32, 5]    [15, 6]    [11, 6]     [7, 7]
    [8, 1]     [8, 2]    [16, 3]    [15, 3]    [16, 4]    [15, 4]    [28, 5]    [30, 5]    [23, 5]    [35, 5]    [17, 6]    [14, 6]     [8, 7]
    [9, 1]     [9, 2]    [18, 3]    [17, 3]    [18, 4]    [17, 4]    [37, 5]    [33, 5]    [29, 5]    [36, 5]    [18, 6]    [16, 6]     [9, 7]
   [10, 1]    [10, 2]    [19, 3]    [20, 3]    [19, 4]    [20, 4]    [39, 5]    [42, 5]    [34, 5]    [41, 5]    [20, 6]    [19, 6]    [10, 7]
   [11, 1]    [11, 2]    [21, 3]    [22, 3]    [21, 4]    [22, 4]    [40, 5]    [43, 5]    [38, 5]    [45, 5]    [22, 6]    [21, 6]    [11, 7]
   [12, 1]    [12, 2]    [25, 3]    [23, 3]    [25, 4]    [23, 4]    [47, 5]    [48, 5]    [44, 5]    [51, 5]    [23, 6]    [24, 6]    [12, 7]
   [13, 1]    [13, 2]    [26, 3]    [24, 3]    [27, 4]    [24, 4]    [54, 5]    [50, 5]    [46, 5]    [52, 5]    [25, 6]    [27, 6]    [13, 7]
   [14, 1]    [14, 2]    [27, 3]    [29, 3]    [28, 4]    [26, 4]    [58, 5]    [53, 5]    [49, 5]    [57, 5]    [26, 6]    [28, 6]    [14, 7]
   [15, 1]    [15, 2]    [28, 3]    [31, 3]    [30, 4]    [29, 4]    [59, 5]    [56, 5]    [55, 5]    [62, 5]    [29, 6]    [31, 6]    [15, 7]
   [16, 1]    [16, 2]    [30, 3]    [34, 3]    [32, 4]    [31, 4]    [68, 5]    [60, 5]    [61, 5]    [63, 5]    [30, 6]    [34, 6]    [16, 7]
   [17, 1]    [17, 2]    [32, 3]    [35, 3]    [33, 4]    [34, 4]    [70, 5]    [64, 5]    [69, 5]    [66, 5]    [32, 6]    [35, 6]    [17, 7]
   [18, 1]    [18, 2]    [33, 3]    [36, 3]    [37, 4]    [35, 4]    [72, 5]    [65, 5]    [71, 5]    [67, 5]    [33, 6]    [36, 6]    [18, 7]
   [19, 1]    [19, 2]    [37, 3]    [38, 3]    [39, 4]    [36, 4]    [73, 5]          .    [75, 5]    [74, 5]    [37, 6]    [39, 6]    [19, 7]
   [20, 1]    [20, 2]    [39, 3]    [41, 3]    [40, 4]    [38, 4]          .          .          .          .    [38, 6]    [40, 6]    [20, 7]
   [21, 1]    [21, 2]    [40, 3]    [44, 3]    [42, 4]    [41, 4]          .          .          .          .    [41, 6]    [44, 6]    [21, 7]
   [22, 1]    [22, 2]    [42, 3]    [45, 3]    [43, 4]    [44, 4]          .          .          .          .    [42, 6]    [45, 6]    [22, 7]
   [23, 1]    [23, 2]    [43, 3]    [46, 3]    [47, 4]    [45, 4]          .          .          .          .    [43, 6]    [47, 6]    [23, 7]
   [24, 1]    [24, 2]    [47, 3]    [49, 3]    [48, 4]    [46, 4]          .          .          .          .    [46, 6]    [49, 6]    [24, 7]
   [25, 1]    [25, 2]    [48, 3]    [51, 3]    [50, 4]    [49, 4]          .          .          .          .    [48, 6]    [50, 6]    [25, 7]
   [26, 1]    [26, 2]    [50, 3]    [52, 3]    [53, 4]    [51, 4]          .          .          .          .    [51, 6]    [52, 6]    [26, 7]
   [27, 1]    [27, 2]    [53, 3]    [55, 3]    [54, 4]    [52, 4]          .          .          .          .    [53, 6]    [54, 6]    [27, 7]
