编号         工序1        工序2        工序3        工序4        工序5        工序6        工序7       
晶圆1        LP_start   AL         BS2        PM3        PM1        AS1        LP_end    
晶圆2        LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆3        LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆4        LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆5        LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆6        LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆7        LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆8        LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆9        LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆10       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆11       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆12       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆13       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆14       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆15       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆16       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆17       LP_start   AL         AS2        PM4        PM5        AS1        LP_end    
晶圆18       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆19       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆20       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆21       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆22       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆23       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆24       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆25       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
