编号         工序1        工序2        工序3        工序4        工序5        工序6        工序7        工序8        工序9        工序10       工序11      
晶圆1        LP_start   AL         BS2        PM7        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆2        LP_start   AL         BS2        PM8        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆3        LP_start   AL         AS2        PM8        PM10       LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆4        LP_start   AL         AS2        PM8        PM9        LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆5        LP_start   AL         AS2        PM7        PM10       LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆6        LP_start   AL         BS2        PM7        PM10       LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆7        LP_start   AL         BS2        PM7        PM9        LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆8        LP_start   AL         BS2        PM8        PM9        LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆9        LP_start   AL         AS2        PM8        PM10       LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆10       LP_start   AL         BS2        PM7        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆11       LP_start   AL         BS2        PM8        PM10       LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆12       LP_start   AL         AS2        PM7        PM10       LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆13       LP_start   AL         BS2        PM8        PM10       LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆14       LP_start   AL         AS2        PM7        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆15       LP_start   AL         BS2        PM8        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆16       LP_start   AL         AS2        PM7        PM9        LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆17       LP_start   AL         BS2        PM8        PM10       LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆18       LP_start   AL         AS2        PM8        PM10       LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆19       LP_start   AL         BS2        PM7        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆20       LP_start   AL         BS2        PM7        PM10       LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆21       LP_start   AL         AS2        PM7        PM9        LLC        PM3        PM1        LLD        BS1        LP_end    
晶圆22       LP_start   AL         AS2        PM7        PM9        LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆23       LP_start   AL         AS2        PM8        PM10       LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆24       LP_start   AL         BS2        PM8        PM9        LLC        PM3        PM1        LLD        AS1        LP_end    
晶圆25       LP_start   AL         AS2        PM7        PM10       LLC        PM3        PM1        LLD        BS1        LP_end    
