  LP_start         AL        AS2        BS2        PM7        PM8        LLC        PM1        PM3        PM6        LLD        AS1        BS1     LP_end
    [1, 1]     [1, 2]     [4, 3]     [1, 3]     [1, 4]     [3, 4]     [1, 5]     [1, 6]     [1, 7]     [1, 8]     [1, 9]    [2, 10]    [1, 10]    [1, 11]
    [2, 1]     [2, 2]     [5, 3]     [2, 3]     [2, 4]     [4, 4]     [2, 5]     [2, 6]     [2, 7]     [2, 8]     [2, 9]    [4, 10]    [3, 10]    [2, 11]
    [3, 1]     [3, 2]     [6, 3]     [3, 3]     [5, 4]     [6, 4]     [3, 5]     [3, 6]     [3, 7]     [3, 8]     [3, 9]   [10, 10]    [5, 10]    [3, 11]
    [4, 1]     [4, 2]    [11, 3]     [7, 3]     [7, 4]     [9, 4]     [4, 5]     [4, 6]     [4, 7]     [4, 8]     [4, 9]   [11, 10]    [6, 10]    [4, 11]
    [5, 1]     [5, 2]    [12, 3]     [8, 3]     [8, 4]    [10, 4]     [5, 5]     [5, 6]     [5, 7]     [5, 8]     [5, 9]   [12, 10]    [7, 10]    [5, 11]
    [6, 1]     [6, 2]    [13, 3]     [9, 3]    [11, 4]    [12, 4]     [6, 5]     [6, 6]     [6, 7]     [6, 8]     [6, 9]   [15, 10]    [8, 10]    [6, 11]
    [7, 1]     [7, 2]    [21, 3]    [10, 3]    [13, 4]    [18, 4]     [7, 5]     [7, 6]     [7, 7]     [7, 8]     [7, 9]   [18, 10]    [9, 10]    [7, 11]
    [8, 1]     [8, 2]    [22, 3]    [14, 3]    [14, 4]    [19, 4]     [8, 5]     [8, 6]     [8, 7]     [8, 8]     [8, 9]   [20, 10]   [13, 10]    [8, 11]
    [9, 1]     [9, 2]    [23, 3]    [15, 3]    [15, 4]    [20, 4]     [9, 5]     [9, 6]     [9, 7]     [9, 8]     [9, 9]   [22, 10]   [14, 10]    [9, 11]
   [10, 1]    [10, 2]    [24, 3]    [16, 3]    [16, 4]    [21, 4]    [10, 5]    [10, 6]    [10, 7]    [10, 8]    [10, 9]   [24, 10]   [16, 10]   [10, 11]
   [11, 1]    [11, 2]    [25, 3]    [17, 3]    [17, 4]    [22, 4]    [11, 5]    [11, 6]    [11, 7]    [11, 8]    [11, 9]   [25, 10]   [17, 10]   [11, 11]
   [12, 1]    [12, 2]    [27, 3]    [18, 3]    [23, 4]    [25, 4]    [12, 5]    [12, 6]    [12, 7]    [12, 8]    [12, 9]   [27, 10]   [19, 10]   [12, 11]
   [13, 1]    [13, 2]    [30, 3]    [19, 3]    [24, 4]    [26, 4]    [13, 5]    [13, 6]    [13, 7]    [13, 8]    [13, 9]   [29, 10]   [21, 10]   [13, 11]
   [14, 1]    [14, 2]    [31, 3]    [20, 3]    [27, 4]    [29, 4]    [14, 5]    [14, 6]    [14, 7]    [14, 8]    [14, 9]   [36, 10]   [23, 10]   [14, 11]
   [15, 1]    [15, 2]    [33, 3]    [26, 3]    [28, 4]    [31, 4]    [15, 5]    [15, 6]    [15, 7]    [15, 8]    [15, 9]   [37, 10]   [26, 10]   [15, 11]
   [16, 1]    [16, 2]    [34, 3]    [28, 3]    [30, 4]    [32, 4]    [16, 5]    [16, 6]    [16, 7]    [16, 8]    [16, 9]   [38, 10]   [28, 10]   [16, 11]
   [17, 1]    [17, 2]    [36, 3]    [29, 3]    [34, 4]    [33, 4]    [17, 5]    [17, 6]    [17, 7]    [17, 8]    [17, 9]   [39, 10]   [30, 10]   [17, 11]
   [18, 1]    [18, 2]    [37, 3]    [32, 3]    [36, 4]    [35, 4]    [18, 5]    [18, 6]    [18, 7]    [18, 8]    [18, 9]   [40, 10]   [31, 10]   [18, 11]
   [19, 1]    [19, 2]    [39, 3]    [35, 3]    [37, 4]    [40, 4]    [19, 5]    [19, 6]    [19, 7]    [19, 8]    [19, 9]   [45, 10]   [32, 10]   [19, 11]
   [20, 1]    [20, 2]    [40, 3]    [38, 3]    [38, 4]    [45, 4]    [20, 5]    [20, 6]    [20, 7]    [20, 8]    [20, 9]   [49, 10]   [33, 10]   [20, 11]
   [21, 1]    [21, 2]    [44, 3]    [41, 3]    [39, 4]    [47, 4]    [21, 5]    [21, 6]    [21, 7]    [21, 8]    [21, 9]   [50, 10]   [34, 10]   [21, 11]
   [22, 1]    [22, 2]    [46, 3]    [42, 3]    [41, 4]    [51, 4]    [22, 5]    [22, 6]    [22, 7]    [22, 8]    [22, 9]   [51, 10]   [35, 10]   [22, 11]
   [23, 1]    [23, 2]    [47, 3]    [43, 3]    [42, 4]    [52, 4]    [23, 5]    [23, 6]    [23, 7]    [23, 8]    [23, 9]   [52, 10]   [41, 10]   [23, 11]
   [24, 1]    [24, 2]    [50, 3]    [45, 3]    [43, 4]    [53, 4]    [24, 5]    [24, 6]    [24, 7]    [24, 8]    [24, 9]   [56, 10]   [42, 10]   [24, 11]
   [25, 1]    [25, 2]    [51, 3]    [48, 3]    [44, 4]    [54, 4]    [25, 5]    [25, 6]    [25, 7]    [25, 8]    [25, 9]   [57, 10]   [43, 10]   [25, 11]
   [26, 1]    [26, 2]    [54, 3]    [49, 3]    [46, 4]    [58, 4]    [26, 5]    [26, 6]    [26, 7]    [26, 8]    [26, 9]   [58, 10]   [44, 10]   [26, 11]
   [27, 1]    [27, 2]    [55, 3]    [52, 3]    [48, 4]    [59, 4]    [27, 5]    [27, 6]    [27, 7]    [27, 8]    [27, 9]   [59, 10]   [46, 10]   [27, 11]
   [28, 1]    [28, 2]    [56, 3]    [53, 3]    [49, 4]    [60, 4]    [28, 5]    [28, 6]    [28, 7]    [28, 8]    [28, 9]   [60, 10]   [47, 10]   [28, 11]
   [29, 1]    [29, 2]    [57, 3]    [58, 3]    [50, 4]    [62, 4]    [29, 5]    [29, 6]    [29, 7]    [29, 8]    [29, 9]   [61, 10]   [48, 10]   [29, 11]
   [30, 1]    [30, 2]    [62, 3]    [59, 3]    [55, 4]    [63, 4]    [30, 5]    [30, 6]    [30, 7]    [30, 8]    [30, 9]   [62, 10]   [53, 10]   [30, 11]
   [31, 1]    [31, 2]    [63, 3]    [60, 3]    [56, 4]    [65, 4]    [31, 5]    [31, 6]    [31, 7]    [31, 8]    [31, 9]   [63, 10]   [54, 10]   [31, 11]
   [32, 1]    [32, 2]    [64, 3]    [61, 3]    [57, 4]    [66, 4]    [32, 5]    [32, 6]    [32, 7]    [32, 8]    [32, 9]   [64, 10]   [55, 10]   [32, 11]
   [33, 1]    [33, 2]    [66, 3]    [65, 3]    [61, 4]    [68, 4]    [33, 5]    [33, 6]    [33, 7]    [33, 8]    [33, 9]   [66, 10]   [65, 10]   [33, 11]
   [34, 1]    [34, 2]    [67, 3]    [70, 3]    [64, 4]    [70, 4]    [34, 5]    [34, 6]    [34, 7]    [34, 8]    [34, 9]   [67, 10]   [69, 10]   [34, 11]
   [35, 1]    [35, 2]    [68, 3]    [71, 3]    [67, 4]    [72, 4]    [35, 5]    [35, 6]    [35, 7]    [35, 8]    [35, 9]   [68, 10]   [73, 10]   [35, 11]
   [36, 1]    [36, 2]    [69, 3]    [72, 3]    [69, 4]    [73, 4]    [36, 5]    [36, 6]    [36, 7]    [36, 8]    [36, 9]   [70, 10]   [74, 10]   [36, 11]
   [37, 1]    [37, 2]    [73, 3]    [74, 3]    [71, 4]    [74, 4]    [37, 5]    [37, 6]    [37, 7]    [37, 8]    [37, 9]   [71, 10]   [75, 10]   [37, 11]
   [38, 1]    [38, 2]    [75, 3]          .    [75, 4]          .    [38, 5]    [38, 6]    [38, 7]    [38, 8]    [38, 9]   [72, 10]          .   [38, 11]
   [39, 1]    [39, 2]          .          .          .          .    [39, 5]    [39, 6]    [39, 7]    [39, 8]    [39, 9]          .          .   [39, 11]
   [40, 1]    [40, 2]          .          .          .          .    [40, 5]    [40, 6]    [40, 7]    [40, 8]    [40, 9]          .          .   [40, 11]
   [41, 1]    [41, 2]          .          .          .          .    [41, 5]    [41, 6]    [41, 7]    [41, 8]    [41, 9]          .          .   [41, 11]
   [42, 1]    [42, 2]          .          .          .          .    [42, 5]    [42, 6]    [42, 7]    [42, 8]    [42, 9]          .          .   [42, 11]
   [43, 1]    [43, 2]          .          .          .          .    [43, 5]    [43, 6]    [43, 7]    [43, 8]    [43, 9]          .          .   [43, 11]
   [44, 1]    [44, 2]          .          .          .          .    [44, 5]    [44, 6]    [44, 7]    [44, 8]    [44, 9]          .          .   [44, 11]
   [45, 1]    [45, 2]          .          .          .          .    [45, 5]    [45, 6]    [45, 7]    [45, 8]    [45, 9]          .          .   [45, 11]
   [46, 1]    [46, 2]          .          .          .          .    [46, 5]    [46, 6]    [46, 7]    [46, 8]    [46, 9]          .          .   [46, 11]
   [47, 1]    [47, 2]          .          .          .          .    [47, 5]    [47, 6]    [47, 7]    [47, 8]    [47, 9]          .          .   [47, 11]
   [48, 1]    [48, 2]          .          .          .          .    [48, 5]    [48, 6]    [48, 7]    [48, 8]    [48, 9]          .          .   [48, 11]
   [49, 1]    [49, 2]          .          .          .          .    [49, 5]    [49, 6]    [49, 7]    [49, 8]    [49, 9]          .          .   [49, 11]
   [50, 1]    [50, 2]          .          .          .          .    [50, 5]    [50, 6]    [50, 7]    [50, 8]    [50, 9]          .          .   [50, 11]
   [51, 1]    [51, 2]          .          .          .          .    [51, 5]    [51, 6]    [51, 7]    [51, 8]    [51, 9]          .          .   [51, 11]
   [52, 1]    [52, 2]          .          .          .          .    [52, 5]    [52, 6]    [52, 7]    [52, 8]    [52, 9]          .          .   [52, 11]
   [53, 1]    [53, 2]          .          .          .          .    [53, 5]    [53, 6]    [53, 7]    [53, 8]    [53, 9]          .          .   [53, 11]
   [54, 1]    [54, 2]          .          .          .          .    [54, 5]    [54, 6]    [54, 7]    [54, 8]    [54, 9]          .          .   [54, 11]
   [55, 1]    [55, 2]          .          .          .          .    [55, 5]    [55, 6]    [55, 7]    [55, 8]    [55, 9]          .          .   [55, 11]
   [56, 1]    [56, 2]          .          .          .          .    [56, 5]    [56, 6]    [56, 7]    [56, 8]    [56, 9]          .          .   [56, 11]
   [57, 1]    [57, 2]          .          .          .          .    [57, 5]    [57, 6]    [57, 7]    [57, 8]    [57, 9]          .          .   [57, 11]
   [58, 1]    [58, 2]          .          .          .          .    [58, 5]    [58, 6]    [58, 7]    [58, 8]    [58, 9]          .          .   [58, 11]
   [59, 1]    [59, 2]          .          .          .          .    [59, 5]    [59, 6]    [59, 7]    [59, 8]    [59, 9]          .          .   [59, 11]
   [60, 1]    [60, 2]          .          .          .          .    [60, 5]    [60, 6]    [60, 7]    [60, 8]    [60, 9]          .          .   [60, 11]
   [61, 1]    [61, 2]          .          .          .          .    [61, 5]    [61, 6]    [61, 7]    [61, 8]    [61, 9]          .          .   [61, 11]
   [62, 1]    [62, 2]          .          .          .          .    [62, 5]    [62, 6]    [62, 7]    [62, 8]    [62, 9]          .          .   [62, 11]
   [63, 1]    [63, 2]          .          .          .          .    [63, 5]    [63, 6]    [63, 7]    [63, 8]    [63, 9]          .          .   [63, 11]
   [64, 1]    [64, 2]          .          .          .          .    [64, 5]    [64, 6]    [64, 7]    [64, 8]    [64, 9]          .          .   [64, 11]
   [65, 1]    [65, 2]          .          .          .          .    [65, 5]    [65, 6]    [65, 7]    [65, 8]    [65, 9]          .          .   [65, 11]
   [66, 1]    [66, 2]          .          .          .          .    [66, 5]    [66, 6]    [66, 7]    [66, 8]    [66, 9]          .          .   [66, 11]
   [67, 1]    [67, 2]          .          .          .          .    [67, 5]    [67, 6]    [67, 7]    [67, 8]    [67, 9]          .          .   [67, 11]
   [68, 1]    [68, 2]          .          .          .          .    [68, 5]    [68, 6]    [68, 7]    [68, 8]    [68, 9]          .          .   [68, 11]
   [69, 1]    [69, 2]          .          .          .          .    [69, 5]    [69, 6]    [69, 7]    [69, 8]    [69, 9]          .          .   [69, 11]
   [70, 1]    [70, 2]          .          .          .          .    [70, 5]    [70, 6]    [70, 7]    [70, 8]    [70, 9]          .          .   [70, 11]
   [71, 1]    [71, 2]          .          .          .          .    [71, 5]    [71, 6]    [71, 7]    [71, 8]    [71, 9]          .          .   [71, 11]
   [72, 1]    [72, 2]          .          .          .          .    [72, 5]    [72, 6]    [72, 7]    [72, 8]    [72, 9]          .          .   [72, 11]
   [73, 1]    [73, 2]          .          .          .          .    [73, 5]    [73, 6]    [73, 7]    [73, 8]    [73, 9]          .          .   [73, 11]
   [74, 1]    [74, 2]          .          .          .          .    [74, 5]    [74, 6]    [74, 7]    [74, 8]    [74, 9]          .          .   [74, 11]
   [75, 1]    [75, 2]          .          .          .          .    [75, 5]    [75, 6]    [75, 7]    [75, 8]    [75, 9]          .          .   [75, 11]
